question,style,btl_rank,btl_strength,btl_beta,answer,result
"In the Bible, who saw the handwriting on the wall?",base,1,0.513850,-0.665824,Belshazzar,1
Which volcano in Tanzania is the highest mountain in Africa?,base,2,0.479982,-0.734007,Mount Kilimanjaro,1
Where in Canada is the Lion's Gate bridge?,base,3,0.000713,-7.246377,"Vancouver, British Columbia",1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,base,4,0.000415,-7.788423,July 20,1
How was the European Recovery Program in the 1940s more commonly known?,base,5,0.000336,-7.997782,Marshall Plan,1
What is the Japanese share index called?,base,6,0.000242,-8.327519,Nikkei,1
In which sport could the Pacers take on the Pistons?,base,7,0.000230,-8.378299,Basketball,1
Who had an 80s No 1 hit with Hold On To The Nights?,base,8,0.000190,-8.568916,Tina Turner,0
Dave Gilmore and Roger Waters were in which rock group?,base,9,0.000176,-8.646990,Pink Floyd,1
Which 70s show was based on the British show Till Death Us Do Part?,base,10,0.000147,-8.827284,All in the Family,1
Why is the site of a boxing match called a ring when it's square?,base,11,0.000131,-8.938288,Tradition.,0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,base,12,0.000113,-9.091148,Dangerous Minds,1
Who or what was Gentle Ben in the 60s TV series?,base,13,0.000109,-9.125146,Gentle Ben was a grizzly bear.,0
Who was the next British Prime Minister after Arthur Balfour?,base,14,0.000107,-9.142137,H.H. Asquith,0
What was Eddie Murphy's first movie?,base,15,0.000107,-9.143259,Beverly Hills Cop,0
Who directed the classic 30s western Stagecoach?,base,16,0.000096,-9.247381,John Ford,1
Who is the most successful UK solo artist in the USA?,base,17,0.000095,-9.262438,Elton John,1
Brandon Lee died during the making of which movie?,base,18,0.000082,-9.406121,The Crow,1
Bandar Seri Begawan International airport is in which country?,base,19,0.000081,-9.419282,Brunei,1
Where was horse racing's Breeder's Cup held in 1987?,base,20,0.000075,-9.500003,Santa Anita Park,1
Who was the first US-born winner of golf's British Open?,base,21,0.000075,-9.504249,Corey Pavin,0
Which Brit broke the land speed record in 1990 in Thrust 2?,base,22,0.000073,-9.526745,Andy Green,0
Who was the man behind The Chipmunks?,base,23,0.000072,-9.535875,David Seville,1
"In the Bible, who did the sun and moon stand still before?",base,24,0.000071,-9.548801,Joshua,1
What did the Lone Ranger's title Kemo Sabe mean in Apache?,base,25,0.000071,-9.553399,Friend,1
Where in England was actor Nigel Hawthorne born?,base,26,0.000070,-9.564309,Devon,0
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,base,27,0.000068,-9.594409,The Hare and the Tortoise,0
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",base,28,0.000067,-9.608628,Adolf Hitler,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,base,29,0.000067,-9.614415,Sunset Boulevard,1
Rita Coolidge sang the title song for which Bond film?,base,30,0.000065,-9.641807,Live and Let Die,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,base,31,0.000064,-9.651158,Yugoslavia,1
Who was the director of the CIA from 1976-81?,base,32,0.000058,-9.751613,William E. Colby,0
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,base,33,0.000058,-9.754456,Herman Melville's Typee,0
Otis Barton was a pioneer in exploring where?,base,34,0.000058,-9.756642,deep sea,1
Which journalist first told the world about the My Lai massacre?,base,35,0.000058,-9.759577,Pete Daniel Berman,0
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",base,36,0.000051,-9.876698,Anne Sullivan Macy,0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,base,37,0.000051,-9.889369,Practice more.,0
If I Were A Rich Man Was a big hit from which stage show?,base,38,0.000050,-9.896133,Fiddler on the Roof,1
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,base,39,0.000046,-9.982057,Joan Crawford,0
"""In which movie did Garbo say, """"I want to be alone"""".""",base,40,0.000046,-9.986145,Grand Hotel,1
Of which African country is Niamey the capital?,base,41,0.000045,-10.016853,Niger,1
Robert Kirkpatrick of California grew the world's biggest what?,base,42,0.000045,-10.016960,watermelon,0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,base,43,0.000042,-10.067542,1932,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",base,44,0.000040,-10.124013,for a rich man to enter the kingdom of heaven.,1
What claimed the life of singer Kathleen Ferrier?,base,45,0.000040,-10.125455,Tuberculosis,0
Which artist David was born in Bradford UK?,base,46,0.000040,-10.129869,David Hockney,1
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,base,47,0.000039,-10.157380,Futurama,0
Which highway was Revisited in a classic 60s album by Bob Dylan?,base,48,0.000038,-10.167660,Highway 61,1
Which musical featured the song The Street Where You Live?,base,49,0.000037,-10.212400,My Fair Lady,1
River Phoenix died during the making of which movie?,base,50,0.000037,-10.216114,Weatherspoon,0
In the 80s who wrote the novel Empire of The Sun?,base,51,0.000036,-10.223204,Kazuo Ishiguro,0
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,base,52,0.000036,-10.234033,Chris Evert,1
What was President Gerald Ford's middle name?,base,53,0.000036,-10.239483,Robert,0
What is the only novel to top the best-seller lists for two consecutive years?,base,54,0.000035,-10.255498,Gone Girl,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",base,55,0.000034,-10.282281,A bill.,0
To the nearest million what is the population of Australia?,base,56,0.000034,-10.283964,25 million,1
What is the name of Terence and Shirley Conran's dress designer son?,base,57,0.000033,-10.304709,Tom,0
In what state was playwright Tennessee Williams born?,base,58,0.000033,-10.317018,Mississippi,1
Who was the first person after Scott to reach the South Pole overland?,base,59,0.000032,-10.334488,Borchgrevink,0
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,base,60,0.000032,-10.342162,Buster Brown,0
Who recorded the When Harry Met Sally soundtrack?,base,61,0.000032,-10.361909,Nino Rota,0
Who was the only Englishman to become Pope?,base,62,0.000032,-10.365120,Sir Thomas Walden,0
Where did the Shinning Path terrorists operate?,base,63,0.000031,-10.367090,Peru,1
In which state was Gene Vincent born?,base,64,0.000031,-10.396652,Louisiana,0
Who had a Too Legit To Quit Tour?,base,65,0.000029,-10.455615,LL Cool J,0
In which decade did stereo records first go on sale?,base,66,0.000028,-10.471955,1950s,1
Who was the last inmate of Spandau jail in Berlin?,base,67,0.000028,-10.474653,Rudolf Hess,1
Who had a 70s No 1 hit with Let's Do It Again?,base,68,0.000026,-10.552912,Bee Gees,0
What was the last US state to reintroduce alcohol after prohibition?,base,69,0.000026,-10.567855,Mississippi,1
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",base,70,0.000025,-10.588103,Minotaur,0
Kagoshima international airport is in which country?,base,71,0.000025,-10.594380,Japan,1
What is Mel Gibson's middle name?,base,72,0.000025,-10.599171,Joseph,0
What was the name of Michael Jackson's autobiography written in 1988?,base,73,0.000025,-10.606169,Moonwalk,1
In which country is the Sky Train Rail bridge?,base,74,0.000024,-10.628121,Thailand,0
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",base,75,0.000023,-10.669914,Hinduism and Christianity,0
What was the Paramount Film Company originally called?,base,76,0.000022,-10.720529,American Magyar Film Corporation,0
Which drink did The Spice Girls promote?,base,77,0.000021,-10.754693,Jägermeister,0
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",base,78,0.000021,-10.759472,8,0
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,base,79,0.000019,-10.847908,Go Your Own Way by Fleetwood Mac,0
What was Walter Matthau's first movie?,base,80,0.000019,-10.852722,"""The Man Who Shot Liberty Valance""",0
The flag of Libya is a plain rectangle of which color?,base,81,0.000019,-10.889824,green,1
Who was the youngest brother in the Beach Boys?,base,82,0.000018,-10.897762,Carl Wilson,1
Who had a 70s No 1 hit with Kiss You All Over?,base,83,0.000018,-10.917847,Lulu,0
"In Greek mythology, what were the names of Oedipus's parents?",base,84,0.000018,-10.941018,Laius and Jocasta,1
Which musician founded the Red Hot Peppers?,base,85,0.000016,-11.026863,Red Hot Chili Peppers,1
What was Truman Capote's last name before he was adopted by his stepfather?,base,86,0.000015,-11.115028,Capote,0
"In the very first Boston Marathon, 15 runners competed. How many finished?",base,87,0.000015,-11.129192,14,0
Which founder of the company Triad was accused by the USA of receiving bribes?,base,88,0.000014,-11.175876,Jack Reilly,0
"In Greek mythology, who were Arges, Brontes and Steropes?",base,89,0.000014,-11.177452,Cyclopes,1
Richard Daley was mayor of which city for 21 years?,base,90,0.000014,-11.178753,Chicago,1
Which US No 1 single came from Diana Ross's platinum album Diana?,base,91,0.000011,-11.413923,I'm{Name},0
Which actress was voted Miss Greenwich Village in 1942?,base,92,0.000011,-11.423133,Joan Blondell,0
What is Osbert Lancaster best known for producing?,base,93,0.000011,-11.455184,comic drawings and illustrations,1
Art Garfunkel trained for which profession although he didn't qualify?,base,94,0.000009,-11.631837,law,0
Who first hosted Family Feud?,base,95,0.000008,-11.676295,Tom Jackson,0
Which country does the airline TAAG come from?,base,96,0.000007,-11.938657,Namibia,0
What would Kevin Scale have been called if it had adopted the originator's first name?,base,97,0.000005,-12.251510,James Scale,0
What was the profession of Paul Strand (1890 - 1976)?,base,98,0.000005,-12.297749,Photographer,1
What star sign is Jamie Lee Curtis?,base,99,0.000000,-27.631118,Scorpio,1
How old was Jimi Hendrix when he died?,base,100,0.000000,-27.631118,27,1
In which sport could the Pacers take on the Pistons?,confident_1,1,0.114616,-2.166172,Basketball,1
What claimed the life of singer Kathleen Ferrier?,confident_1,2,0.055797,-2.886034,Tuberculosis,0
Who was the next British Prime Minister after Arthur Balfour?,confident_1,3,0.052432,-2.948231,H.H. Asquith,0
Art Garfunkel trained for which profession although he didn't qualify?,confident_1,4,0.034353,-3.371059,Lawyer,0
Which volcano in Tanzania is the highest mountain in Africa?,confident_1,5,0.031211,-3.466970,Mount Kilimanjaro,1
Which highway was Revisited in a classic 60s album by Bob Dylan?,confident_1,6,0.026480,-3.631347,Highway 61,1
Who is the most successful UK solo artist in the USA?,confident_1,7,0.023765,-3.739535,Elton John,1
Brandon Lee died during the making of which movie?,confident_1,8,0.021669,-3.831869,The Crow,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,confident_1,9,0.019415,-3.941714,Sunset Boulevard,1
Bandar Seri Begawan International airport is in which country?,confident_1,10,0.017596,-4.040093,Brunei,1
Who had a 70s No 1 hit with Let's Do It Again?,confident_1,11,0.016018,-4.134022,Bee Gees,0
Who was the man behind The Chipmunks?,confident_1,12,0.014767,-4.215375,David Seville,1
Where did the Shinning Path terrorists operate?,confident_1,13,0.014409,-4.239911,Peru,1
Dave Gilmore and Roger Waters were in which rock group?,confident_1,14,0.014372,-4.242500,Pink Floyd,1
"In the Bible, who did the sun and moon stand still before?",confident_1,15,0.014369,-4.242701,Joshua,1
Rita Coolidge sang the title song for which Bond film?,confident_1,16,0.014075,-4.263338,Live and Let Die,0
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,confident_1,17,0.013818,-4.281759,Hedy Lamarr,0
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",confident_1,18,0.013426,-4.310573,Griffin,0
Of which African country is Niamey the capital?,confident_1,19,0.013381,-4.313886,Niger,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,confident_1,20,0.013354,-4.315912,July 20,1
Who had an 80s No 1 hit with Hold On To The Nights?,confident_1,21,0.013110,-4.334354,Culture Club,0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,confident_1,22,0.012518,-4.380553,Dangerous Minds,1
Which artist David was born in Bradford UK?,confident_1,23,0.012497,-4.382283,David Hockney,1
What was President Gerald Ford's middle name?,confident_1,24,0.011572,-4.459169,Johnson,0
Who or what was Gentle Ben in the 60s TV series?,confident_1,25,0.011239,-4.488325,Gentle Ben was a grizzly bear.,0
Who was the first person after Scott to reach the South Pole overland?,confident_1,26,0.011106,-4.500225,Amundsen,0
How old was Jimi Hendrix when he died?,confident_1,27,0.010896,-4.519379,27,1
Which musical featured the song The Street Where You Live?,confident_1,28,0.010818,-4.526581,My Fair Lady,1
Who directed the classic 30s western Stagecoach?,confident_1,29,0.010764,-4.531543,John Ford,1
"In Greek mythology, what were the names of Oedipus's parents?",confident_1,30,0.010578,-4.548980,Laius and Jocasta,1
Who had a Too Legit To Quit Tour?,confident_1,31,0.010395,-4.566442,Too Short,0
How was the European Recovery Program in the 1940s more commonly known?,confident_1,32,0.010370,-4.568832,Marshall Plan,1
Who was the only Englishman to become Pope?,confident_1,33,0.010190,-4.586321,Sir Thomas Walden,0
What is the Japanese share index called?,confident_1,34,0.009734,-4.632098,Nikkei,1
What is the only novel to top the best-seller lists for two consecutive years?,confident_1,35,0.009606,-4.645365,"""Gone Girl""",0
Who was the first US-born winner of golf's British Open?,confident_1,36,0.009393,-4.667764,Corey Pavin,0
Otis Barton was a pioneer in exploring where?,confident_1,37,0.009160,-4.692918,Deep ocean depths.,1
Which journalist first told the world about the My Lai massacre?,confident_1,38,0.009120,-4.697324,Pete Daniel Ballew,0
Richard Daley was mayor of which city for 21 years?,confident_1,39,0.009053,-4.704709,Chicago,1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,confident_1,40,0.008632,-4.752272,Buster Brown,0
If I Were A Rich Man Was a big hit from which stage show?,confident_1,41,0.008281,-4.793817,Fiddler on the Roof,1
Where was horse racing's Breeder's Cup held in 1987?,confident_1,42,0.008219,-4.801252,Santa Anita Park,1
Which 70s show was based on the British show Till Death Us Do Part?,confident_1,43,0.008085,-4.817765,Porridge,0
Who had a 70s No 1 hit with Kiss You All Over?,confident_1,44,0.008056,-4.821374,Sly & Robbie,0
In the 80s who wrote the novel Empire of The Sun?,confident_1,45,0.007505,-4.892169,Kazuo Ishiguro,0
River Phoenix died during the making of which movie?,confident_1,46,0.007356,-4.912246,Waterworld,0
Which drink did The Spice Girls promote?,confident_1,47,0.007236,-4.928642,Jaffa Cake,0
Where in Canada is the Lion's Gate bridge?,confident_1,48,0.007231,-4.929346,"Vancouver, British Columbia",1
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,confident_1,49,0.007120,-4.944794,Practice.,0
Who was the director of the CIA from 1976-81?,confident_1,50,0.007093,-4.948629,William E. Colby,0
In which decade did stereo records first go on sale?,confident_1,51,0.006912,-4.974468,1950s,1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,confident_1,52,0.006477,-5.039442,Chris Evert,1
What was the Paramount Film Company originally called?,confident_1,53,0.006455,-5.042873,Paramount Pictures Corporation,0
In which country is the Sky Train Rail bridge?,confident_1,54,0.006284,-5.069674,Thailand,0
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,confident_1,55,0.006263,-5.073023,The Book of Revelation,0
What was Eddie Murphy's first movie?,confident_1,56,0.006202,-5.082842,Beverly Hills Cop,0
To the nearest million what is the population of Australia?,confident_1,57,0.005803,-5.149334,26 million,1
"In the very first Boston Marathon, 15 runners competed. How many finished?",confident_1,58,0.005763,-5.156328,15,0
What was the profession of Paul Strand (1890 - 1976)?,confident_1,59,0.005148,-5.269195,Photographer,1
Robert Kirkpatrick of California grew the world's biggest what?,confident_1,60,0.005009,-5.296464,Watermelon,0
Kagoshima international airport is in which country?,confident_1,61,0.004709,-5.358178,Japan,1
Who recorded the When Harry Met Sally soundtrack?,confident_1,62,0.004636,-5.373984,Billy Joel,0
What is Osbert Lancaster best known for producing?,confident_1,63,0.004619,-5.377534,comic strips and illustrations.,1
Where in England was actor Nigel Hawthorne born?,confident_1,64,0.004577,-5.386715,Bristol,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",confident_1,65,0.004350,-5.437630,for a rich man to enter the kingdom of heaven.,1
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",confident_1,66,0.004318,-5.444991,8,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",confident_1,67,0.004298,-5.449587,A: A bill.,0
"""In which movie did Garbo say, """"I want to be alone"""".""",confident_1,68,0.004231,-5.465320,Anna Christie,0
In what year's Olympics were electric timing devices and a public-address system used for the first time?,confident_1,69,0.004186,-5.475975,1932,0
Which Brit broke the land speed record in 1990 in Thrust 2?,confident_1,70,0.004169,-5.480161,Andy Green,0
The flag of Libya is a plain rectangle of which color?,confident_1,71,0.004056,-5.507669,green,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",confident_1,72,0.003939,-5.536937,Adolf Hitler,1
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",confident_1,73,0.003777,-5.578854,Hindoo and Hottentot.,0
Who was the last inmate of Spandau jail in Berlin?,confident_1,74,0.003712,-5.596102,Rudolf Hess,1
"In the Bible, who saw the handwriting on the wall?",confident_1,75,0.003457,-5.667260,Belshazzar,1
Why is the site of a boxing match called a ring when it's square?,confident_1,76,0.003457,-5.667348,circular.,1
What was Walter Matthau's first movie?,confident_1,77,0.003437,-5.673294,"""The Ten Commandments"" (1956)",0
What was Truman Capote's last name before he was adopted by his stepfather?,confident_1,78,0.003362,-5.695302,Capote,0
