question,ground_truth
Who was the man behind The Chipmunks?,"Ross Bagdasarian, also known as David Seville."
What star sign is Jamie Lee Curtis?,"Scorpio, born November 22."
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard
Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell-Bannerman.
Who had a 70s No 1 hit with Kiss You All Over?,"Exile with ""Kiss You All Over"" in 1978."
What claimed the life of singer Kathleen Ferrier?,"Cancer, specifically breast cancer."
Rita Coolidge sang the title song for which Bond film?,Octopussy.
To the nearest million what is the population of Australia?,25 million.
What was the last US state to reintroduce alcohol after prohibition?,"Mississippi, in 1966."
Which actress was voted Miss Greenwich Village in 1942?,Claudia Barrett was voted Miss Greenwich Village.
What is the Japanese share index called?,Nikkei 225.
What was the name of Michael Jackson's autobiography written in 1988?,"""Moondance"" or officially ""Moonwalk""."
In which decade did stereo records first go on sale?,"1950s, first sold in 1958."
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,"""Dig it out of the dirt."""
In what year's Olympics were electric timing devices and a public-address system used for the first time?,1928 Amsterdam Olympics.
Why is the site of a boxing match called a ring when it's square?,"Originally, it was a circular ring."
"In the very first Boston Marathon, 15 runners competed. How many finished?",Only 10 runners finished.
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",18 animal shapes in total.
Which volcano in Tanzania is the highest mountain in Africa?,Mount Kilimanjaro.
The flag of Libya is a plain rectangle of which color?,Green.
Of which African country is Niamey the capital?,Niger.
Who was the director of the CIA from 1976-81?,Stansfield Turner.
Which musical featured the song The Street Where You Live?,My Fair Lady.
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Adolf Hitler.
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx.
Who directed the classic 30s western Stagecoach?,John Ford directed Stagecoach.
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd.
Which highway was Revisited in a classic 60s album by Bob Dylan?,Highway 61.
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,"China and Yugoslavia, and others, but mainly Yugoslavia."
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms.
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof.
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny on the Bounty.
What is the only novel to top the best-seller lists for two consecutive years?,To Kill a Mockingbird.
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",Alexander Graham Bell.
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","""...for a rich man to enter the kingdom."""
What was Truman Capote's last name before he was adopted by his stepfather?,Persons
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,The Amityville Horror by Jay Anson.
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A Boojum.
In what state was playwright Tennessee Williams born?,Mississippi.
Who was the only Englishman to become Pope?,"Pope Adrian IV, Nicholas Breakspear."
"In the Bible, who did the sun and moon stand still before?",Joshua.
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds.
"In the Bible, who saw the handwriting on the wall?",Daniel saw the handwriting on the wall.
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"Dennis the Menace's dog, Ruff's friend, is named Jeff."
What was President Gerald Ford's middle name?,Rudolph.
Who recorded the When Harry Met Sally soundtrack?,Harry Connick Jr. recorded the soundtrack.
Art Garfunkel trained for which profession although he didn't qualify?,"Architecture, at Columbia University."
Who was the last inmate of Spandau jail in Berlin?,"Rudolf Hess, Nazi official."
What was Eddie Murphy's first movie?,48 Hrs (1982)
In the 80s who wrote the novel Empire of The Sun?,J.G. Ballard.
Kagoshima international airport is in which country?,Japan.
In which sport could the Pacers take on the Pistons?,"Basketball, specifically the NBA."
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Medley by Stars on 45.
Where in Canada is the Lion's Gate bridge?,"Vancouver, British Columbia."
What was Walter Matthau's first movie?,Strangers on a Train (1951) was his debut.
Otis Barton was a pioneer in exploring where?,The deep ocean depths.
Where in England was actor Nigel Hawthorne born?,"Coventry, England."
What would Kevin Scale have been called if it had adopted the originator's first name?,"Anders Scale, after Anders Celsius."
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",Manticore.
"In Greek mythology, who were Arges, Brontes and Steropes?","The Cyclopes, Hephaestus' helpers."
"In Greek mythology, what were the names of Oedipus's parents?",Laius and Jocasta.
Which musician founded the Red Hot Peppers?,Anthony Kiedis and friends founded Red Hot Chili Peppers.
Where did the Shinning Path terrorists operate?,"Peru, primarily in the Andes region."
How old was Jimi Hendrix when he died?,27 years old.
Which Brit broke the land speed record in 1990 in Thrust 2?,"Andy Green didn't, it was Richard Noble and Andy Green's."
In which state was Gene Vincent born?,Virginia.
How was the European Recovery Program in the 1940s more commonly known?,The Marshall Plan.
Brandon Lee died during the making of which movie?,The Crow.
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers.
Who had a Too Legit To Quit Tour?,MC Hammer.
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster.
Who is the most successful UK solo artist in the USA?,Elton John.
Where was horse racing's Breeder's Cup held in 1987?,Hollywood Park in California.
Which country does the airline TAAG come from?,Angola.
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down
River Phoenix died during the making of which movie?,Dark Blood.
Which artist David was born in Bradford UK?,David Hockney.
What is Mel Gibson's middle name?,Colville.
Richard Daley was mayor of which city for 21 years?,Chicago
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel.
Robert Kirkpatrick of California grew the world's biggest what?,"Pumpkin, weighing over 2,000 pounds."
What is Osbert Lancaster best known for producing?,Satirical cartoons and theatrical designs.
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,Chris Evert.
Who was the first US-born winner of golf's British Open?,Tom Watson in 1975.
In which country is the Sky Train Rail bridge?,"Canada, specifically in Vancouver, British Columbia."
What was the Paramount Film Company originally called?,Famous Players Film Company.
Which founder of the company Triad was accused by the USA of receiving bribes?,"Dmitry Firtash, founder of Group DF (formerly Triad)."
Who was the first person after Scott to reach the South Pole overland?,Robert Falcon Scott's rival was Robert Falcon Scott second.
Which journalist first told the world about the My Lai massacre?,Seymour Hersh.
What is the name of Terence and Shirley Conran's dress designer son?,Jasper Conran.
Which drink did The Spice Girls promote?,Pepsi.
Who was the youngest brother in the Beach Boys?,Carl Wilson.
Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,Ingrid Bergman.
Who first hosted Family Feud?,Richard Dawson.
What did the Lone Ranger's title Kemo Sabe mean in Apache?,Trusted friend or brother.
