question,style,btl_rank,btl_strength,btl_beta,answer,result
Who had an 80s No 1 hit with Hold On To The Nights?,base,1,0.722359,-0.325233,Richard Marx,1
Who directed the classic 30s western Stagecoach?,base,2,0.228270,-1.477227,John Ford,1
Which volcano in Tanzania is the highest mountain in Africa?,base,3,0.021582,-3.835907,Kilimanjaro,1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",base,4,0.021352,-3.846620,Anne Sullivan,0
Who had a Too Legit To Quit Tour?,base,5,0.001313,-6.635090,Vanilla Ice,0
"In the Bible, who did the sun and moon stand still before?",base,6,0.001209,-6.717790,Joshua,1
Where did the Shinning Path terrorists operate?,base,7,0.000696,-7.270310,Peru,1
Who was the man behind The Chipmunks?,base,8,0.000659,-7.324292,Ross Bagdasarian Sr.,1
Which journalist first told the world about the My Lai massacre?,base,9,0.000535,-7.533410,Morley Safer,0
What was the profession of Paul Strand (1890 - 1976)?,base,10,0.000405,-7.812163,Photographer,1
Who had a 70s No 1 hit with Let's Do It Again?,base,11,0.000392,-7.843447,The Staple Singers,1
Who was the last inmate of Spandau jail in Berlin?,base,12,0.000350,-7.956495,Albert Speer,0
What star sign is Jamie Lee Curtis?,base,13,0.000318,-8.052660,Libra,0
Who was the only Englishman to become Pope?,base,14,0.000202,-8.506270,Gregory XVI,0
"In Greek mythology, who were Arges, Brontes and Steropes?",base,15,0.000165,-8.709101,The Cyclopes.,1
Where in Canada is the Lion's Gate bridge?,base,16,0.000160,-8.741915,Vancouver,1
Who had a 70s No 1 hit with Kiss You All Over?,base,17,0.000022,-10.728140,Starship,0
Who was the first US-born winner of golf's British Open?,base,18,0.000002,-13.408998,Tiger Woods,0
"In the Bible, who saw the handwriting on the wall?",base,19,0.000001,-13.477784,Belshazzar,1
Who was the defending champion when Martina Navratilova first won Wimbledon singles?,base,20,0.000001,-13.555862,Chris Evert-Lloyd,1
Who was the first person after Scott to reach the South Pole overland?,base,21,0.000001,-14.238211,Amundsen,0
Where was horse racing's Breeder's Cup held in 1987?,base,22,0.000001,-14.498598,Hollywood Park,1
Dave Gilmore and Roger Waters were in which rock group?,base,23,0.000000,-14.777598,Pink Floyd,1
What was President Gerald Ford's middle name?,base,24,0.000000,-14.917032,Ellen,0
Who is the most successful UK solo artist in the USA?,base,25,0.000000,-15.100763,Elton John,1
Who or what was Gentle Ben in the 60s TV series?,base,26,0.000000,-15.122034,Elly May's pet bear.,0
Which 70s show was based on the British show Till Death Us Do Part?,base,27,0.000000,-15.271671,All in the Family,1
How was the European Recovery Program in the 1940s more commonly known?,base,28,0.000000,-15.303554,Marshall Plan,1
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",base,29,0.000000,-15.391942,Franklin D. Roosevelt,0
What did the Lone Ranger's title Kemo Sabe mean in Apache?,base,30,0.000000,-15.540217,Trusted Friend,1
Who was the director of the CIA from 1976-81?,base,31,0.000000,-15.573162,Stansfield Turner,1
Who first hosted Family Feud?,base,32,0.000000,-15.674291,Richard Dawson,1
On what date in 1969 did Neil Armstrong first set foot on the Moon?,base,33,0.000000,-15.702517,July 20th,1
Who was the youngest brother in the Beach Boys?,base,34,0.000000,-15.808221,Carl,1
"""In which movie did Garbo say, """"I want to be alone"""".""",base,35,0.000000,-16.068673,Grand Hotel (1932),1
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,base,36,0.000000,-16.089363,Joe Yabuco,0
In which sport could the Pacers take on the Pistons?,base,37,0.000000,-16.149792,Basketball,1
Who recorded the When Harry Met Sally soundtrack?,base,38,0.000000,-16.302270,Hans Zimmer,0
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,base,39,0.000000,-16.303504,Dangerous Minds,1
River Phoenix died during the making of which movie?,base,40,0.000000,-16.351802,Dark Star,0
Richard Daley was mayor of which city for 21 years?,base,41,0.000000,-16.367828,Chicago,1
In what state was playwright Tennessee Williams born?,base,42,0.000000,-16.375847,Mississippi,1
Of which African country is Niamey the capital?,base,43,0.000000,-16.419753,Niger,1
Which Lloyd Webber musical premiered in the US on 10th December 1993?,base,44,0.000000,-16.421241,Sunset Boulevard,1
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,base,45,0.000000,-16.431995,The Deer Hunter,0
Brandon Lee died during the making of which movie?,base,46,0.000000,-16.434674,The Crow,1
If I Were A Rich Man Was a big hit from which stage show?,base,47,0.000000,-16.435262,Fiddler on the Roof,1
Which musical featured the song The Street Where You Live?,base,48,0.000000,-16.449911,My Fair Lady,1
Bandar Seri Begawan International airport is in which country?,base,49,0.000000,-16.583531,Brunei,1
Where in England was actor Nigel Hawthorne born?,base,50,0.000000,-16.591418,Normanton,0
In which state was Gene Vincent born?,base,51,0.000000,-16.655674,Virginia,1
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",base,52,0.000000,-16.671413,Bogged.,0
