question_i,question_j,winner,style
Who was the man behind The Chipmunks?,What is the only novel to top the best-seller lists for two consecutive years?,2,base
Who was the man behind The Chipmunks?,The flag of Libya is a plain rectangle of which color?,2,base
Who was the man behind The Chipmunks?,Art Garfunkel trained for which profession although he didn't qualify?,1,base
Who was the man behind The Chipmunks?,What was the last US state to reintroduce alcohol after prohibition?,1,base
Who was the man behind The Chipmunks?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,1,base
Who was the man behind The Chipmunks?,Who was the only Englishman to become Pope?,1,base
Who was the man behind The Chipmunks?,How old was Jimi Hendrix when he died?,1,base
Who was the man behind The Chipmunks?,In which sport could the Pacers take on the Pistons?,1,base
Who was the man behind The Chipmunks?,In what state was playwright Tennessee Williams born?,1,base
Who was the man behind The Chipmunks?,Bandar Seri Begawan International airport is in which country?,2,base
What star sign is Jamie Lee Curtis?,River Phoenix died during the making of which movie?,2,base
What star sign is Jamie Lee Curtis?,Who was the last inmate of Spandau jail in Berlin?,2,base
What star sign is Jamie Lee Curtis?,"In the Bible, who saw the handwriting on the wall?",2,base
What star sign is Jamie Lee Curtis?,Which musician founded the Red Hot Peppers?,2,base
What star sign is Jamie Lee Curtis?,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,2,base
What star sign is Jamie Lee Curtis?,Which journalist first told the world about the My Lai massacre?,2,base
What star sign is Jamie Lee Curtis?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,2,base
What star sign is Jamie Lee Curtis?,Rita Coolidge sang the title song for which Bond film?,2,base
What star sign is Jamie Lee Curtis?,Which founder of the company Triad was accused by the USA of receiving bribes?,2,base
What star sign is Jamie Lee Curtis?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Art Garfunkel trained for which profession although he didn't qualify?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",2,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Which 70s show was based on the British show Till Death Us Do Part?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Richard Daley was mayor of which city for 21 years?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,What claimed the life of singer Kathleen Ferrier?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Which highway was Revisited in a classic 60s album by Bob Dylan?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,What is the name of Terence and Shirley Conran's dress designer son?,1,base
Which Lloyd Webber musical premiered in the US on 10th December 1993?,The flag of Libya is a plain rectangle of which color?,2,base
Who was the next British Prime Minister after Arthur Balfour?,Who was the first person after Scott to reach the South Pole overland?,1,base
Who was the next British Prime Minister after Arthur Balfour?,What claimed the life of singer Kathleen Ferrier?,2,base
Who was the next British Prime Minister after Arthur Balfour?,Which drink did The Spice Girls promote?,1,base
Who was the next British Prime Minister after Arthur Balfour?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,base
Who was the next British Prime Minister after Arthur Balfour?,Otis Barton was a pioneer in exploring where?,2,base
Who was the next British Prime Minister after Arthur Balfour?,"In Greek mythology, who were Arges, Brontes and Steropes?",2,base
Who was the next British Prime Minister after Arthur Balfour?,Which musician founded the Red Hot Peppers?,1,base
Who was the next British Prime Minister after Arthur Balfour?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,base
Who was the next British Prime Minister after Arthur Balfour?,Why is the site of a boxing match called a ring when it's square?,1,base
Who was the next British Prime Minister after Arthur Balfour?,"In Greek mythology, what were the names of Oedipus's parents?",1,base
Who had a 70s No 1 hit with Kiss You All Over?,"In Greek mythology, what were the names of Oedipus's parents?",1,base
Who had a 70s No 1 hit with Kiss You All Over?,What is Mel Gibson's middle name?,1,base
Who had a 70s No 1 hit with Kiss You All Over?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
Who had a 70s No 1 hit with Kiss You All Over?,In which decade did stereo records first go on sale?,2,base
Who had a 70s No 1 hit with Kiss You All Over?,Who was the last inmate of Spandau jail in Berlin?,1,base
Who had a 70s No 1 hit with Kiss You All Over?,Who directed the classic 30s western Stagecoach?,1,base
Who had a 70s No 1 hit with Kiss You All Over?,The flag of Libya is a plain rectangle of which color?,2,base
Who had a 70s No 1 hit with Kiss You All Over?,Rita Coolidge sang the title song for which Bond film?,2,base
Who had a 70s No 1 hit with Kiss You All Over?,In which country is the Sky Train Rail bridge?,2,base
Who had a 70s No 1 hit with Kiss You All Over?,What was the profession of Paul Strand (1890 - 1976)?,1,base
What claimed the life of singer Kathleen Ferrier?,What was the name of Michael Jackson's autobiography written in 1988?,1,base
What claimed the life of singer Kathleen Ferrier?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,base
What claimed the life of singer Kathleen Ferrier?,In the 80s who wrote the novel Empire of The Sun?,1,base
What claimed the life of singer Kathleen Ferrier?,"In Greek mythology, what were the names of Oedipus's parents?",1,base
What claimed the life of singer Kathleen Ferrier?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,base
What claimed the life of singer Kathleen Ferrier?,Which musician founded the Red Hot Peppers?,1,base
What claimed the life of singer Kathleen Ferrier?,Who had an 80s No 1 hit with Hold On To The Nights?,1,base
What claimed the life of singer Kathleen Ferrier?,Who was the last inmate of Spandau jail in Berlin?,1,base
What claimed the life of singer Kathleen Ferrier?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,base
What claimed the life of singer Kathleen Ferrier?,What is the only novel to top the best-seller lists for two consecutive years?,2,base
Rita Coolidge sang the title song for which Bond film?,What was Truman Capote's last name before he was adopted by his stepfather?,1,base
Rita Coolidge sang the title song for which Bond film?,What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,1,base
Rita Coolidge sang the title song for which Bond film?,Who was the director of the CIA from 1976-81?,1,base
Rita Coolidge sang the title song for which Bond film?,Which highway was Revisited in a classic 60s album by Bob Dylan?,1,base
Rita Coolidge sang the title song for which Bond film?,What was the last US state to reintroduce alcohol after prohibition?,1,base
Rita Coolidge sang the title song for which Bond film?,What was the Paramount Film Company originally called?,1,base
Rita Coolidge sang the title song for which Bond film?,What is the Japanese share index called?,2,base
Rita Coolidge sang the title song for which Bond film?,Who was the only Englishman to become Pope?,1,base
Rita Coolidge sang the title song for which Bond film?,Dave Gilmore and Roger Waters were in which rock group?,2,base
Rita Coolidge sang the title song for which Bond film?,In which sport could the Pacers take on the Pistons?,2,base
To the nearest million what is the population of Australia?,Which journalist first told the world about the My Lai massacre?,2,base
To the nearest million what is the population of Australia?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,base
To the nearest million what is the population of Australia?,River Phoenix died during the making of which movie?,2,base
To the nearest million what is the population of Australia?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",1,base
To the nearest million what is the population of Australia?,What was the last US state to reintroduce alcohol after prohibition?,2,base
To the nearest million what is the population of Australia?,Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,1,base
To the nearest million what is the population of Australia?,Where did the Shinning Path terrorists operate?,2,base
To the nearest million what is the population of Australia?,What comic strip character was named after heavyweight boxing champion James J. Jeffries?,1,base
To the nearest million what is the population of Australia?,Who is the most successful UK solo artist in the USA?,2,base
To the nearest million what is the population of Australia?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",1,base
What was the last US state to reintroduce alcohol after prohibition?,"In the Bible, who saw the handwriting on the wall?",2,base
What was the last US state to reintroduce alcohol after prohibition?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,base
What was the last US state to reintroduce alcohol after prohibition?,What was Walter Matthau's first movie?,1,base
What was the last US state to reintroduce alcohol after prohibition?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",1,base
What was the last US state to reintroduce alcohol after prohibition?,Who recorded the When Harry Met Sally soundtrack?,1,base
What was the last US state to reintroduce alcohol after prohibition?,In which decade did stereo records first go on sale?,1,base
What was the last US state to reintroduce alcohol after prohibition?,To the nearest million what is the population of Australia?,1,base
What was the last US state to reintroduce alcohol after prohibition?,Which musical featured the song The Street Where You Live?,1,base
What was the last US state to reintroduce alcohol after prohibition?,What was the profession of Paul Strand (1890 - 1976)?,1,base
What was the last US state to reintroduce alcohol after prohibition?,Who had a 70s No 1 hit with Kiss You All Over?,1,base
Which actress was voted Miss Greenwich Village in 1942?,Rita Coolidge sang the title song for which Bond film?,2,base
Which actress was voted Miss Greenwich Village in 1942?,Who was the first person after Scott to reach the South Pole overland?,1,base
Which actress was voted Miss Greenwich Village in 1942?,Why is the site of a boxing match called a ring when it's square?,2,base
Which actress was voted Miss Greenwich Village in 1942?,What was Truman Capote's last name before he was adopted by his stepfather?,2,base
Which actress was voted Miss Greenwich Village in 1942?,Which musician founded the Red Hot Peppers?,1,base
Which actress was voted Miss Greenwich Village in 1942?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,base
Which actress was voted Miss Greenwich Village in 1942?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,2,base
Which actress was voted Miss Greenwich Village in 1942?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",1,base
Which actress was voted Miss Greenwich Village in 1942?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,base
Which actress was voted Miss Greenwich Village in 1942?,What would Kevin Scale have been called if it had adopted the originator's first name?,2,base
What is the Japanese share index called?,Of which African country is Niamey the capital?,1,base
What is the Japanese share index called?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,2,base
What is the Japanese share index called?,"In the very first Boston Marathon, 15 runners competed. How many finished?",2,base
What is the Japanese share index called?,What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,1,base
What is the Japanese share index called?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",1,base
What is the Japanese share index called?,How old was Jimi Hendrix when he died?,1,base
What is the Japanese share index called?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,base
What is the Japanese share index called?,Which highway was Revisited in a classic 60s album by Bob Dylan?,1,base
What is the Japanese share index called?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",2,base
What is the Japanese share index called?,What star sign is Jamie Lee Curtis?,1,base
What was the name of Michael Jackson's autobiography written in 1988?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,base
What was the name of Michael Jackson's autobiography written in 1988?,Who recorded the When Harry Met Sally soundtrack?,2,base
What was the name of Michael Jackson's autobiography written in 1988?,Art Garfunkel trained for which profession although he didn't qualify?,2,base
What was the name of Michael Jackson's autobiography written in 1988?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,base
What was the name of Michael Jackson's autobiography written in 1988?,Which journalist first told the world about the My Lai massacre?,2,base
What was the name of Michael Jackson's autobiography written in 1988?,Who was the last inmate of Spandau jail in Berlin?,2,base
What was the name of Michael Jackson's autobiography written in 1988?,In which country is the Sky Train Rail bridge?,1,base
What was the name of Michael Jackson's autobiography written in 1988?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,2,base
What was the name of Michael Jackson's autobiography written in 1988?,If I Were A Rich Man Was a big hit from which stage show?,1,base
What was the name of Michael Jackson's autobiography written in 1988?,What was Walter Matthau's first movie?,1,base
In which decade did stereo records first go on sale?,"In the very first Boston Marathon, 15 runners competed. How many finished?",2,base
In which decade did stereo records first go on sale?,Who had a 70s No 1 hit with Let's Do It Again?,1,base
In which decade did stereo records first go on sale?,Who was the man behind The Chipmunks?,2,base
In which decade did stereo records first go on sale?,What is Mel Gibson's middle name?,1,base
In which decade did stereo records first go on sale?,Where was horse racing's Breeder's Cup held in 1987?,2,base
In which decade did stereo records first go on sale?,Who was the first person after Scott to reach the South Pole overland?,1,base
In which decade did stereo records first go on sale?,What is the only novel to top the best-seller lists for two consecutive years?,1,base
In which decade did stereo records first go on sale?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",1,base
In which decade did stereo records first go on sale?,"In the Bible, who saw the handwriting on the wall?",2,base
In which decade did stereo records first go on sale?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,What was the name of Michael Jackson's autobiography written in 1988?,1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,In which decade did stereo records first go on sale?,1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Who recorded the When Harry Met Sally soundtrack?,1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Which country does the airline TAAG come from?,1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,-1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Which highway was Revisited in a classic 60s album by Bob Dylan?,-1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Where in England was actor Nigel Hawthorne born?,1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,What would Kevin Scale have been called if it had adopted the originator's first name?,-1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Who or what was Gentle Ben in the 60s TV series?,-1,base
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Why is the site of a boxing match called a ring when it's square?,2,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",2,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,What was Eddie Murphy's first movie?,2,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Dave Gilmore and Roger Waters were in which rock group?,1,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Art Garfunkel trained for which profession although he didn't qualify?,1,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,Richard Daley was mayor of which city for 21 years?,1,base
In what year's Olympics were electric timing devices and a public-address system used for the first time?,What was the profession of Paul Strand (1890 - 1976)?,1,base
Why is the site of a boxing match called a ring when it's square?,Where was horse racing's Breeder's Cup held in 1987?,-1,base
Why is the site of a boxing match called a ring when it's square?,Who is the most successful UK solo artist in the USA?,1,base
Why is the site of a boxing match called a ring when it's square?,Who was the director of the CIA from 1976-81?,1,base
Why is the site of a boxing match called a ring when it's square?,Where in Canada is the Lion's Gate bridge?,1,base
Why is the site of a boxing match called a ring when it's square?,Art Garfunkel trained for which profession although he didn't qualify?,1,base
Why is the site of a boxing match called a ring when it's square?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,base
Why is the site of a boxing match called a ring when it's square?,If I Were A Rich Man Was a big hit from which stage show?,1,base
Why is the site of a boxing match called a ring when it's square?,River Phoenix died during the making of which movie?,1,base
Why is the site of a boxing match called a ring when it's square?,Otis Barton was a pioneer in exploring where?,2,base
Why is the site of a boxing match called a ring when it's square?,"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",1,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",Who was the only Englishman to become Pope?,1,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",Which US No 1 single came from Diana Ross's platinum album Diana?,1,base
"In the very first Boston Marathon, 15 runners competed. How many finished?","""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",2,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",Dave Gilmore and Roger Waters were in which rock group?,2,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,2,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",Who is the most successful UK solo artist in the USA?,2,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,2,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",Of which African country is Niamey the capital?,1,base
"In the very first Boston Marathon, 15 runners competed. How many finished?",What claimed the life of singer Kathleen Ferrier?,2,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",What claimed the life of singer Kathleen Ferrier?,1,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,2,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",What is Mel Gibson's middle name?,2,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",In which decade did stereo records first go on sale?,1,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,1,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",River Phoenix died during the making of which movie?,1,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Who was the man behind The Chipmunks?,2,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",What was Walter Matthau's first movie?,1,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Which journalist first told the world about the My Lai massacre?,2,base
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",Which drink did The Spice Girls promote?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,What is the only novel to top the best-seller lists for two consecutive years?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,Dave Gilmore and Roger Waters were in which rock group?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,Which Lloyd Webber musical premiered in the US on 10th December 1993?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,Who had a 70s No 1 hit with Kiss You All Over?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,In which country is the Sky Train Rail bridge?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",1,base
Which volcano in Tanzania is the highest mountain in Africa?,The flag of Libya is a plain rectangle of which color?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,What was the name of Michael Jackson's autobiography written in 1988?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,What is Mel Gibson's middle name?,1,base
Which volcano in Tanzania is the highest mountain in Africa?,Who was the director of the CIA from 1976-81?,1,base
The flag of Libya is a plain rectangle of which color?,Who had a Too Legit To Quit Tour?,2,base
The flag of Libya is a plain rectangle of which color?,What was President Gerald Ford's middle name?,2,base
The flag of Libya is a plain rectangle of which color?,"In the Bible, who saw the handwriting on the wall?",2,base
The flag of Libya is a plain rectangle of which color?,"In the very first Boston Marathon, 15 runners competed. How many finished?",1,base
The flag of Libya is a plain rectangle of which color?,In the 80s who wrote the novel Empire of The Sun?,2,base
The flag of Libya is a plain rectangle of which color?,Who recorded the When Harry Met Sally soundtrack?,2,base
The flag of Libya is a plain rectangle of which color?,Where was horse racing's Breeder's Cup held in 1987?,2,base
The flag of Libya is a plain rectangle of which color?,What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,1,base
The flag of Libya is a plain rectangle of which color?,Who was the man behind The Chipmunks?,2,base
The flag of Libya is a plain rectangle of which color?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,base
Of which African country is Niamey the capital?,In what year's Olympics were electric timing devices and a public-address system used for the first time?,1,base
Of which African country is Niamey the capital?,Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,1,base
Of which African country is Niamey the capital?,Art Garfunkel trained for which profession although he didn't qualify?,1,base
Of which African country is Niamey the capital?,How was the European Recovery Program in the 1940s more commonly known?,2,base
Of which African country is Niamey the capital?,Which actress was called by the US Senate a 'powerful force of evil' when she left her husband and child in 1948?,2,base
Of which African country is Niamey the capital?,Which actress was voted Miss Greenwich Village in 1942?,1,base
Of which African country is Niamey the capital?,Who was the defending champion when Martina Navratilova first won Wimbledon singles?,1,base
Of which African country is Niamey the capital?,What claimed the life of singer Kathleen Ferrier?,2,base
Of which African country is Niamey the capital?,Who is the most successful UK solo artist in the USA?,2,base
Of which African country is Niamey the capital?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,base
Who was the director of the CIA from 1976-81?,Dave Gilmore and Roger Waters were in which rock group?,2,base
Who was the director of the CIA from 1976-81?,The flag of Libya is a plain rectangle of which color?,1,base
Who was the director of the CIA from 1976-81?,What did the Lone Ranger's title Kemo Sabe mean in Apache?,2,base
Who was the director of the CIA from 1976-81?,"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",1,base
Who was the director of the CIA from 1976-81?,Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,1,base
Who was the director of the CIA from 1976-81?,On what date in 1969 did Neil Armstrong first set foot on the Moon?,2,base
Who was the director of the CIA from 1976-81?,"""In which movie did Garbo say, """"I want to be alone"""".""",2,base
Who was the director of the CIA from 1976-81?,Which country does the airline TAAG come from?,1,base
Who was the director of the CIA from 1976-81?,Who was the youngest brother in the Beach Boys?,1,base
Who was the director of the CIA from 1976-81?,Who or what was Gentle Ben in the 60s TV series?,2,base
Which musical featured the song The Street Where You Live?,What is the only novel to top the best-seller lists for two consecutive years?,1,base
Which musical featured the song The Street Where You Live?,Robert Kirkpatrick of California grew the world's biggest what?,1,base
Which musical featured the song The Street Where You Live?,To the nearest million what is the population of Australia?,2,base
Which musical featured the song The Street Where You Live?,Who was the last inmate of Spandau jail in Berlin?,1,base
Which musical featured the song The Street Where You Live?,Where was horse racing's Breeder's Cup held in 1987?,2,base
Which musical featured the song The Street Where You Live?,Which highway was Revisited in a classic 60s album by Bob Dylan?,2,base
Which musical featured the song The Street Where You Live?,Where did the Shinning Path terrorists operate?,2,base
Which musical featured the song The Street Where You Live?,What was the name of Michael Jackson's autobiography written in 1988?,1,base
Which musical featured the song The Street Where You Live?,"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""",1,base
Which musical featured the song The Street Where You Live?,What was the last US state to reintroduce alcohol after prohibition?,1,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What is the name of Terence and Shirley Conran's dress designer son?,1,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Why is the site of a boxing match called a ring when it's square?,2,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What was Eddie Murphy's first movie?,1,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Dave Gilmore and Roger Waters were in which rock group?,2,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Robert Kirkpatrick of California grew the world's biggest what?,1,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",What was the last US state to reintroduce alcohol after prohibition?,1,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Which musical featured the song The Street Where You Live?,2,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Which Brit broke the land speed record in 1990 in Thrust 2?,2,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Which artist David was born in Bradford UK?,1,base
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Who had an 80s No 1 hit with Hold On To The Nights?,2,base
Who had an 80s No 1 hit with Hold On To The Nights?,"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",1,base
Who had an 80s No 1 hit with Hold On To The Nights?,Who had a 70s No 1 hit with Let's Do It Again?,1,base
Who had an 80s No 1 hit with Hold On To The Nights?,Who first hosted Family Feud?,1,base
Who had an 80s No 1 hit with Hold On To The Nights?,"In Greek mythology, who were Arges, Brontes and Steropes?",1,base
Who had an 80s No 1 hit with Hold On To The Nights?,Which country does the airline TAAG come from?,1,base
Who had an 80s No 1 hit with Hold On To The Nights?,In which sport could the Pacers take on the Pistons?,1,base
Who had an 80s No 1 hit with Hold On To The Nights?,Which founder of the company Triad was accused by the USA of receiving bribes?,1,base
