question,ground_truth,qwen2.5 base,qwen2.5 confident_1,qwen2.5 confident_2,qwen2.5 doubtful_1,qwen2.5 doubtful_2,qwen2.5 evidential_1,qwen2.5 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Who was the man behind The Chipmunks?,"Ross Bagdasarian, also known as David Seville.",David Seville,David Seville,David Seville,David Seville,David Seville,David Seville,David Seville,yes,yes,yes,yes,yes,yes,yes
What star sign is Jamie Lee Curtis?,"Scorpio, born November 22.",Scorpio,Scorpio,Scorpio,Scorpio,Scorpio,Scorpio,Scorpio,yes,yes,yes,yes,yes,yes,yes
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,yes,yes,yes,yes,yes,yes,yes
Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell-Bannerman.,H.H. Asquith,H.H. Asquith,Robert Cecil,Robert Cecil,David Lloyd George,H.H. Asquith,David Lloyd George,no,no,no,no,no,no,no
Who had a 70s No 1 hit with Kiss You All Over?,"Exile with ""Kiss You All Over"" in 1978.",Lulu,Sly & Robbie,Dusty Springfield,Sly & The Family Stone,Dusty Springfield,Steve Miller Band,Dave Berry,no,no,no,no,no,no,no
What claimed the life of singer Kathleen Ferrier?,"Cancer, specifically breast cancer.",Tuberculosis,Tuberculosis,Tuberculosis,Cancer,Tuberculosis,Cancer,Tuberculosis,no,no,no,yes,no,yes,no
Rita Coolidge sang the title song for which Bond film?,Octopussy.,Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die,Live and Let Die,no,no,no,no,no,no,no
To the nearest million what is the population of Australia?,25 million.,25 million,26 million,26 million,26 million,25 million,25 million,25 million,yes,yes,no,no,yes,yes,yes
What was the last US state to reintroduce alcohol after prohibition?,"Mississippi, in 1966.",Mississippi,Mississippi,Mississippi,North Dakota,Maine,North Dakota,Mississippi,yes,yes,yes,no,no,no,yes
Which actress was voted Miss Greenwich Village in 1942?,Claudia Barrett was voted Miss Greenwich Village.,Joan Blondell,Joan Blondell,Joan Blondell,Joan Blondell,Joan Blondell,Joan Blondell,Joan Blondell,no,no,no,no,no,no,no
What is the Japanese share index called?,Nikkei 225.,Nikkei,Nikkei,Nikkei,Nikkei Index,Nikkei Stock Average,Nikkei Index,Nikkei Stock Average,yes,yes,yes,yes,yes,yes,yes
What was the name of Michael Jackson's autobiography written in 1988?,"""Moondance"" or officially ""Moonwalk"".",Moonwalk,"""Moonwalk""","""Moonwalk""","""Moonwalk""","""Moonwalk""","""Moonwalk""","""Moonwalk""",yes,yes,yes,yes,yes,yes,yes
In which decade did stereo records first go on sale?,"1950s, first sold in 1958.",1950s,1950s,1950s,1950s,1950s,1950s,1950s,yes,yes,yes,yes,yes,yes,yes
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,"""Dig it out of the dirt.""",Practice more.,Practice.,Practice.,Practice more.,Perfection.,Practice more.,Practice more.,no,no,no,no,no,no,no
In what year's Olympics were electric timing devices and a public-address system used for the first time?,1928 Amsterdam Olympics.,1932,1932,1932,1932,1932,1932,1932,no,no,no,no,no,no,no
Why is the site of a boxing match called a ring when it's square?,"Originally, it was a circular ring.",Tradition.,circular.,round.,tradition,circlular for tradition.,Historically named a ring due to its circular shape despite being square or rectangular,"Because ""ring"" comes from Old Norse and predates the current shape.",no,yes,yes,no,no,yes,no
"In the very first Boston Marathon, 15 runners competed. How many finished?",Only 10 runners finished.,14,15,15,15,15,14,14,no,no,no,no,no,no,no
