question,style,btl_rank,btl_strength,btl_beta,answer,result
Which 70s show was based on the British show Till Death Us Do Part?,base,1,0.986861,-0.013226,All in the Family,1
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?",base,2,0.000413,-7.792837,Anne Sullivan Macy,0
Who had an 80s No 1 hit with Hold On To The Nights?,base,3,0.000382,-7.870494,Tina Turner,0
Where in Canada is the Lion's Gate bridge?,base,4,0.000275,-8.198714,"Vancouver, British Columbia",1
Who was the first person after Scott to reach the South Pole overland?,base,5,0.000257,-8.267449,Borchgrevink,0
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,base,6,0.000254,-8.278111,Yugoslavia,1
"In the very first Boston Marathon, 15 runners competed. How many finished?",base,7,0.000251,-8.290472,14,0
What was Eddie Murphy's first movie?,base,8,0.000246,-8.311928,Beverly Hills Cop,0
Robert Kirkpatrick of California grew the world's biggest what?,base,9,0.000237,-8.348796,watermelon,0
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,base,10,0.000237,-8.348814,Futurama,0
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",base,11,0.000230,-8.376794,A bill.,0
Who or what was Gentle Ben in the 60s TV series?,base,12,0.000224,-8.403356,Gentle Ben was a grizzly bear.,0
Who was the director of the CIA from 1976-81?,base,13,0.000220,-8.422904,William E. Colby,0
How was the European Recovery Program in the 1940s more commonly known?,base,14,0.000215,-8.444096,Marshall Plan,1
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,base,15,0.000214,-8.451486,Herman Melville's Typee,0
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,base,16,0.000198,-8.525620,Practice more.,0
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""",base,17,0.000193,-8.551014,for a rich man to enter the kingdom of heaven.,1
Who had a 70s No 1 hit with Let's Do It Again?,base,18,0.000186,-8.592371,Bee Gees,0
In which sport could the Pacers take on the Pistons?,base,19,0.000176,-8.643800,Basketball,1
"In Greek mythology, who were Arges, Brontes and Steropes?",base,20,0.000174,-8.654153,Cyclopes,1
What was President Gerald Ford's middle name?,base,21,0.000174,-8.655155,Robert,0
Who directed the classic 30s western Stagecoach?,base,22,0.000172,-8.666739,John Ford,1
To the nearest million what is the population of Australia?,base,23,0.000170,-8.679942,25 million,1
Rita Coolidge sang the title song for which Bond film?,base,24,0.000169,-8.684047,Live and Let Die,0
What is Osbert Lancaster best known for producing?,base,25,0.000168,-8.692129,comic drawings and illustrations,1
Otis Barton was a pioneer in exploring where?,base,26,0.000165,-8.709004,deep sea,1
River Phoenix died during the making of which movie?,base,27,0.000164,-8.714737,Weatherspoon,0
Who was the youngest brother in the Beach Boys?,base,28,0.000162,-8.726903,Carl Wilson,1
What did the Lone Ranger's title Kemo Sabe mean in Apache?,base,29,0.000162,-8.727759,Friend,1
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,base,30,0.000156,-8.762937,Go Your Own Way by Fleetwood Mac,0
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,base,31,0.000156,-8.765220,Buster Brown,0
Kagoshima international airport is in which country?,base,32,0.000156,-8.766774,Japan,1
"In the Bible, who saw the handwriting on the wall?",base,33,0.000153,-8.783180,Belshazzar,1
In which state was Gene Vincent born?,base,34,0.000153,-8.788215,Louisiana,0
If I Were A Rich Man Was a big hit from which stage show?,base,35,0.000148,-8.818120,Fiddler on the Roof,1
