question,ground_truth,llama3 base,llama3 confident_1,llama3 confident_2,llama3 doubtful_1,llama3 doubtful_2,llama3 evidential_1,llama3 evidential_2,judge_base,judge_confident_1,judge_confident_2,judge_doubtful_1,judge_doubtful_2,judge_evidential_1,judge_evidential_2
Who was the man behind The Chipmunks?,"Ross Bagdasarian, also known as David Seville.",Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,yes,yes,yes,yes,yes,yes,yes
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Sunset Boulevard,Phantom of the Opera,Sunset Boulevard,Phantom of the Opera,Sunset Boulevard,Sunset Boulevard,Sunset Boulevard,yes,no,yes,no,yes,yes,yes
Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell-Bannerman.,Henry Campbell-Bannerman,Henry Campbell-Bannerman,Henry Campbell-Bannerman,Henry Campbell-Bannerman,Henry Campbell-Bannerman,Henry Campbell-Bannerman,Henry Campbell-Bannerman,yes,yes,yes,yes,yes,yes,yes
What claimed the life of singer Kathleen Ferrier?,"Cancer, specifically breast cancer.",Tuberculosis,Breast cancer,Breast cancer,Breast cancer,Breast cancer,Breast cancer,Breast cancer,no,yes,yes,yes,yes,yes,yes
Rita Coolidge sang the title song for which Bond film?,Octopussy.,All Time High,All That Jazz,All That Jazz,All That Jazz,All That Jazz,All That Jazz,All That Jazz,no,no,no,no,no,no,no
Which actress was voted Miss Greenwich Village in 1942?,Claudia Barrett was voted Miss Greenwich Village.,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,Marilyn Monroe,no,no,no,no,no,no,no
Who was the director of the CIA from 1976-81?,Stansfield Turner.,Stansfield Turner,Stansfield Turner,Stansfield Turner,Stansfield Turner,Stansfield Turner,Stansfield Turner,Stansfield Turner,yes,yes,yes,yes,yes,yes,yes
Which musical featured the song The Street Where You Live?,My Fair Lady.,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,My Fair Lady,yes,yes,yes,yes,yes,yes,yes
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Adolf Hitler.,Franklin D. Roosevelt,Winston Churchill,Adolf Hitler,Winston Churchill,Winston Churchill,Franklin D. Roosevelt,Adolf Hitler,no,no,yes,no,no,no,yes
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx.,Richard Marx,Richard Marx,Richard Marx,Richard Marx,Richard Marx,Richard Marx,Richard Marx,yes,yes,yes,yes,yes,yes,yes
Who directed the classic 30s western Stagecoach?,John Ford directed Stagecoach.,John Ford,John Ford,John Ford,John Ford,John Ford,John Ford,John Ford,yes,yes,yes,yes,yes,yes,yes
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd.,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,Pink Floyd,yes,yes,yes,yes,yes,yes,yes
Which highway was Revisited in a classic 60s album by Bob Dylan?,Highway 61.,Highway 61,Highway 61,Highway 61,Highway 61,Highway 61,Highway 61,Highway 61,yes,yes,yes,yes,yes,yes,yes
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof.,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,Fiddler on the Roof,yes,yes,yes,yes,yes,yes,yes
