question,ground_truth,answer
Who was the man behind The Chipmunks?,David Seville,"Ross Bagdasarian, also known as David Seville."
What star sign is Jamie Lee Curtis?,Scorpio,"Scorpio, born November 22."
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Sunset Boulevard
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,Sir Henry Campbell-Bannerman.
Who had a 70s No 1 hit with Kiss You All Over?,Exile,"Exile with ""Kiss You All Over"" in 1978."
What claimed the life of singer Kathleen Ferrier?,Cancer,"Cancer, specifically breast cancer."
Rita Coolidge sang the title song for which Bond film?,Octopussy,Octopussy.
To the nearest million what is the population of Australia?,18 million,25 million.
What was the last US state to reintroduce alcohol after prohibition?,Utah,"Mississippi, in 1966."
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,Claudia Barrett was voted Miss Greenwich Village.
What is the Japanese share index called?,Nikkei,Nikkei 225.
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,"""Moondance"" or officially ""Moonwalk""."
In which decade did stereo records first go on sale?,1930s,"1950s, first sold in 1958."
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Hit the ball closer to the hole,"""Dig it out of the dirt."""
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm",1928 Amsterdam Olympics.
Why is the site of a boxing match called a ring when it's square?,Boxing rings were originally circular,"Originally, it was a circular ring."
"In the very first Boston Marathon, 15 runners competed. How many finished?","$85,000",Only 10 runners finished.
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""","Eighteen--two bears (one walking, one seated), a bison, camel, cougar, elephant, giraffe, gorilla, hippopotamus, hyena , kangaroo, lion, monkey, rhinoceros, seal, sheep, tier, and zebra",18 animal shapes in total.
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,Mount Kilimanjaro.
The flag of Libya is a plain rectangle of which color?,Green,Green.
Of which African country is Niamey the capital?,Niger,Niger.
Who was the director of the CIA from 1976-81?,George Bush,Stansfield Turner.
Which musical featured the song The Street Where You Live?,My Fair Lady,My Fair Lady.
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler,Adolf Hitler.
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx,Richard Marx.
Who directed the classic 30s western Stagecoach?,John Ford,John Ford directed Stagecoach.
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd,Pink Floyd.
Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Highway 61.
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Rumania,"China and Yugoslavia, and others, but mainly Yugoslavia."
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms,Wild Palms.
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,Fiddler on the Roof.
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny On The Bounty,Mutiny on the Bounty.
What is the only novel to top the best-seller lists for two consecutive years?,Jonathan Livingston Seagull,To Kill a Mockingbird.
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?","To inventor Alexander Graham Bell, who helped direct her education and considered himself, first and foremost, a teacher of the deaf",Alexander Graham Bell.
