question,ground_truth,answer,ground_truth_present
Who was the man behind The Chipmunks?,David Seville,"Ross Bagdasarian, also known as David Seville.",Yes
What star sign is Jamie Lee Curtis?,Scorpio,"Scorpio, born November 22.",Yes
Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Boulevard,Sunset Boulevard,Yes
Who was the next British Prime Minister after Arthur Balfour?,Campbell-Bannerman,Sir Henry Campbell-Bannerman.,Yes
Who had a 70s No 1 hit with Kiss You All Over?,Exile,"Exile with ""Kiss You All Over"" in 1978.",Yes
What claimed the life of singer Kathleen Ferrier?,Cancer,"Cancer, specifically breast cancer.",Yes
Rita Coolidge sang the title song for which Bond film?,Octopussy,Octopussy.,Yes
To the nearest million what is the population of Australia?,18 million,25 million.,No
What was the last US state to reintroduce alcohol after prohibition?,Utah,"Mississippi, in 1966.",No
Which actress was voted Miss Greenwich Village in 1942?,Lauren Bacall,Claudia Barrett was voted Miss Greenwich Village.,No
What is the Japanese share index called?,Nikkei,Nikkei 225.,Yes
What was the name of Michael Jackson's autobiography written in 1988?,Moonwalk,"""Moondance"" or officially ""Moonwalk"".",Yes
In which decade did stereo records first go on sale?,1930s,"1950s, first sold in 1958.",No
What was golfing great Ben Hogan's famous reply when he was asked how to improve one's game?,Hit the ball closer to the hole,"""Dig it out of the dirt.""",No
In what year's Olympics were electric timing devices and a public-address system used for the first time?,"In 1912, in Stockholm",1928 Amsterdam Olympics.,No
Why is the site of a boxing match called a ring when it's square?,Boxing rings were originally circular,"Originally, it was a circular ring.",No
"In the very first Boston Marathon, 15 runners competed. How many finished?","$85,000",Only 10 runners finished.,No
"""How many different animal shapes are there in the """"Animal Crackers"""" cookie zoo?""","Eighteen--two bears (one walking, one seated), a bison, camel, cougar, elephant, giraffe, gorilla, hippopotamus, hyena , kangaroo, lion, monkey, rhinoceros, seal, sheep, tier, and zebra",18 animal shapes in total.,No
Which volcano in Tanzania is the highest mountain in Africa?,Kilimanjaro,Mount Kilimanjaro.,Yes
The flag of Libya is a plain rectangle of which color?,Green,Green.,Yes
Of which African country is Niamey the capital?,Niger,Niger.,Yes
Who was the director of the CIA from 1976-81?,George Bush,Stansfield Turner.,No
Which musical featured the song The Street Where You Live?,My Fair Lady,My Fair Lady.,Yes
"""Who was the target of the failed """"Bomb Plot"""" of 1944?""",Hitler,Adolf Hitler.,Yes
Who had an 80s No 1 hit with Hold On To The Nights?,Richard Marx,Richard Marx.,Yes
Who directed the classic 30s western Stagecoach?,John Ford,John Ford directed Stagecoach.,Yes
Dave Gilmore and Roger Waters were in which rock group?,Pink Floyd,Pink Floyd.,Yes
Which highway was Revisited in a classic 60s album by Bob Dylan?,61,Highway 61.,Yes
Which was the only eastern bloc country to participate in the 1984 LA Olympics?,Rumania,"China and Yugoslavia, and others, but mainly Yugoslavia.",No
Which 90s sci fi series with James Belushi was based on Bruce Wagner's comic strip of the same name?,Wild Palms,Wild Palms.,Yes
If I Were A Rich Man Was a big hit from which stage show?,Fiddler on the Roof,Fiddler on the Roof.,Yes
Men Against the Sea and Pitcairn's Island were two sequels to what famous novel?,Mutiny On The Bounty,Mutiny on the Bounty.,Yes
What is the only novel to top the best-seller lists for two consecutive years?,Jonathan Livingston Seagull,To Kill a Mockingbird.,No
"To whom did Helen Keller dedicate her autobiography, The Story of My Life?","To inventor Alexander Graham Bell, who helped direct her education and considered himself, first and foremost, a teacher of the deaf",Alexander Graham Bell.,No
"""Complete this Biblical quotation: """"It is easier for a camel to go through the eye of a needle, than...""","...for a rich man to enter into the kingdom of God. The words are those of Jesus, from Matthew 19:24","""...for a rich man to enter the kingdom.""",No
What was Truman Capote's last name before he was adopted by his stepfather?,Persons,Persons,Yes
What book knocked Henry Kissinger's White house Years out of first place on the best-seller list in November 1979?,"Aunt Erma's Cope Book, by Erma Bombeck",The Amityville Horror by Jay Anson.,No
"In Lewis Carroll's poem The Hunting of the Snark, what did the elusive, troublesome snark turn into to fool hunters?",A boojum,A Boojum.,Yes
In what state was playwright Tennessee Williams born?,"In Mississippi, as Thomas Lanier Williams. He took the name Tennessee after his father's home state",Mississippi.,No
Who was the only Englishman to become Pope?,"Nicholas Breakspear, who was Adrian IV from 1154 to 1159","Pope Adrian IV, Nicholas Breakspear.",No
"In the Bible, who did the sun and moon stand still before?",Joshua,Joshua.,Yes
What Michelle Pfeiffer movie got a boost from the Coolio song Gangsta's Paradise?,Dangerous Minds,Dangerous Minds.,Yes
"In the Bible, who saw the handwriting on the wall?",The Babylonian king Belshazzar (Daniel 5:1-5),Daniel saw the handwriting on the wall.,No
What comic strip character was named after heavyweight boxing champion James J. Jeffries?,"Jeff, of Mutt and Jeff","Dennis the Menace's dog, Ruff's friend, is named Jeff.",No
What was President Gerald Ford's middle name?,Rudolph,Rudolph.,Yes
Who recorded the When Harry Met Sally soundtrack?,Harry Connick Jnr,Harry Connick Jr. recorded the soundtrack.,No
Art Garfunkel trained for which profession although he didn't qualify?,Architect,"Architecture, at Columbia University.",Yes
Who was the last inmate of Spandau jail in Berlin?,Rudolf Hess,"Rudolf Hess, Nazi official.",Yes
What was Eddie Murphy's first movie?,48 Hours,48 Hrs (1982),No
In the 80s who wrote the novel Empire of The Sun?,J. G. Ballard,J.G. Ballard.,No
Kagoshima international airport is in which country?,Japan,Japan.,Yes
In which sport could the Pacers take on the Pistons?,A: Basketball,"Basketball, specifically the NBA.",No
Kim Carnes' nine weeks at No 1 with Bette Davis Eyes was interrupted for one week by which song?,Stars on 45 medley,Medley by Stars on 45.,No
Where in Canada is the Lion's Gate bridge?,Vancouver,"Vancouver, British Columbia.",Yes
What was Walter Matthau's first movie?,The Kentuckian,Strangers on a Train (1951) was his debut.,No
Otis Barton was a pioneer in exploring where?,Underwater,The deep ocean depths.,No
Where in England was actor Nigel Hawthorne born?,Coventry,"Coventry, England.",Yes
What would Kevin Scale have been called if it had adopted the originator's first name?,William Scale,"Anders Scale, after Anders Celsius.",No
"What mythological beast has the head of a man, the body of a lion, and the tail and feet of a dragon?",A manticore,Manticore.,No
"In Greek mythology, who were Arges, Brontes and Steropes?",Cyclopes,"The Cyclopes, Hephaestus' helpers.",Yes
"In Greek mythology, what were the names of Oedipus's parents?","Laius, King of Thebes, and his queen, Jocasta",Laius and Jocasta.,No
Which musician founded the Red Hot Peppers?,Jelly Roll Morton,Anthony Kiedis and friends founded Red Hot Chili Peppers.,No
Where did the Shinning Path terrorists operate?,Peru,"Peru, primarily in the Andes region.",Yes
How old was Jimi Hendrix when he died?,27,27 years old.,Yes
Which Brit broke the land speed record in 1990 in Thrust 2?,Richard Noble,"Andy Green didn't, it was Richard Noble and Andy Green's.",Yes
In which state was Gene Vincent born?,Virginia,Virginia.,Yes
How was the European Recovery Program in the 1940s more commonly known?,Marshall Plan,The Marshall Plan.,Yes
Brandon Lee died during the making of which movie?,The Crow,The Crow.,Yes
Who had a 70s No 1 hit with Let's Do It Again?,The Staple Singers,The Staple Singers.,Yes
Who had a Too Legit To Quit Tour?,MC Hammer,MC Hammer.,Yes
"""According to Rudyard Kipling what were the """"two imposters"""" to meet and treat the same day?""",Triumph and Disaster,Triumph and Disaster.,Yes
Who is the most successful UK solo artist in the USA?,Elton John,Elton John.,Yes
Where was horse racing's Breeder's Cup held in 1987?,Hollywood Park L.A,Hollywood Park in California.,No
Which country does the airline TAAG come from?,Angola,Angola.,Yes
Which US No 1 single came from Diana Ross's platinum album Diana?,Upside Down,Upside Down,Yes
River Phoenix died during the making of which movie?,Dark Blood,Dark Blood.,Yes
Which artist David was born in Bradford UK?,Hockney,David Hockney.,Yes
What is Mel Gibson's middle name?,Columcille,Colville.,No
Richard Daley was mayor of which city for 21 years?,Chicago,Chicago,Yes
"""In which movie did Garbo say, """"I want to be alone"""".""",Grand Hotel,Grand Hotel.,Yes
Robert Kirkpatrick of California grew the world's biggest what?,Head of garlic,"Pumpkin, weighing over 2,000 pounds.",No
